unit	sample	fq1	fq2
RD1	RD1	data/raw/RD1_1.fq.gz	data/raw/RD1_2.fq.gz
R9	R9	data/raw/R9_1.fq.gz	data/raw/R9_2.fq.gz
R10	R10	data/raw/R10_1.fq.gz	data/raw/R10_2.fq.gz
RD2	RD2	data/raw/RD2_1.fq.gz	data/raw/RD2_2.fq.gz
RD3	RD3	data/raw/RD3_1.fq.gz	data/raw/RD3_2.fq.gz
R11	R11	data/raw/R11_1.fq.gz	data/raw/R11_2.fq.gz
RD4	RD4	data/raw/RD4_1.fq.gz	data/raw/RD4_2.fq.gz
R12	R12	data/raw/R12_1.fq.gz	data/raw/R12_2.fq.gz
CD1	CD1	data/raw/CD1_1.fq.gz	data/raw/CD1_2.fq.gz
R13	R13	data/raw/R13_1.fq.gz	data/raw/R13_2.fq.gz
CD2	CD2	data/raw/CD2_1.fq.gz	data/raw/CD2_2.fq.gz
CD3	CD3	data/raw/CD3_1.fq.gz	data/raw/CD3_2.fq.gz
RD5	RD5	data/raw/RD5_1.fq.gz	data/raw/RD5_2.fq.gz
R14	R14	data/raw/R14_1.fq.gz	data/raw/R14_2.fq.gz
C4	C4	data/raw/C4_1.fq.gz	data/raw/C4_2.fq.gz
RD6	RD6	data/raw/RD6_1.fq.gz	data/raw/RD6_2.fq.gz
C5	C5	data/raw/C5_1.fq.gz	data/raw/C5_2.fq.gz
RD7	RD7	data/raw/RD7_1.fq.gz	data/raw/RD7_2.fq.gz
RD8	RD8	data/raw/RD8_1.fq.gz	data/raw/RD8_2.fq.gz
C6	C6	data/raw/C6_1.fq.gz	data/raw/C6_2.fq.gz
